Betriebs-Nr,Betriebsname,Einleitungsart,Anhang der AbwV,Nr. 4. BImSchV,IED-Nr.,Gemeinde,Zust. Behörde,Arbeitsstätten-Nr.,District,Annex_Num
22230489,Reiners & Fürst,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230319,Rheinische Formblech,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,9021377,M_nchengladbach,40.0
2224727,Rhenus Lub GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung",4.5,4.1,Mönchengladbach,BR Düsseldorf,0466543,M_nchengladbach,40.0
22230314,Troost,Indirekteinleitung,55 Wäschereien,,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,55.0
22230316,Trützschler,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22230491,TSB - Tiefdruck - Schwann-Bagel,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
53 Fotografische Prozesse (Silberhalogenid-Fotografie)",5.1.1.1,6.7,Mönchengladbach,Stadt Mönchengladbach,0330579,M_nchengladbach,40.0
2227806,Tuchfabrik Willy Schmitz GmbH & Co.KG,Indirekteinleitung,"38 Textilherstellung, Textilveredlung",10.23,0,Mönchengladbach,BR Düsseldorf,0025446,M_nchengladbach,38.0
22230320,Ungricht,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Mönchengladbach,Stadt Mönchengladbach,,M_nchengladbach,40.0
22223667,UNGRICHT GMBH + CO KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung","9.3.2
3.10.1
3.10.2","0
2.6",Mönchengladbach,BR Düsseldorf,9999086,M_nchengladbach,40.0
2222082,Aalberts Surface Treatment GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung","3.10.1
9.3.2.30","0
2.6",Kerpen,BR Köln,0302077,Rhein_Erft_Kreis,40.0
362641,Anlage 1.1: Betankung+NFZ-Waschhalle,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
49 Mineralölhaltiges Abwasser",,0,Frechen,Rhein-Erft-Kreis,0399381,Rhein_Erft_Kreis,40.0
2222320,DOM Sicherheitstechnik GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung","3.4.2
3.8.2",0,Brühl,BR Köln,0194422,Rhein_Erft_Kreis,40.0
362846,Elektromotorenreinigung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Brühl,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362403,Emaillierung,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung
49 Mineralölhaltiges Abwasser",,,Bergheim,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
36256,Emaillierwerk,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Bergheim,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362103,Fällungsanlage,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Kerpen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362597,Galvanik,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Brühl,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362634,Indutec Umwelttechnik,,"40 Metallbearbeitung, Metallverarbeitung",,,Kerpen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
2222400,PARKMO Metalle & Edelmetalle GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",8.11.2.2,0,Hürth,BR Köln,9047297,Rhein_Erft_Kreis,40.0
36234,Reinigung Hydraulikaggregate,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Kerpen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
2227609,RWE Power AG - Technikzentrum Tagebaue - Hauptwerkstatt,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
49 Mineralölhaltiges Abwasser",,,Frechen,BR Arnsberg-Abt.6 (LOBA),9971686,Rhein_Erft_Kreis,40.0
362839,Technikzentrum Tagebau,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
49 Mineralölhaltiges Abwasser",,,Frechen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,40.0
362676,Textilpflege,Indirekteinleitung,55 Wäschereien,,,Bedburg,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,55.0
36264,Textilreinigung,Indirekteinleitung,55 Wäschereien,,,Elsdorf,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,55.0
362504,Wäscherei,Indirekteinleitung,55 Wäschereien,,,Kerpen,Rhein-Erft-Kreis,,Rhein_Erft_Kreis,55.0
2227027,ALU Oberfläche GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,2.6,Korschenbroich,BR Düsseldorf,0088132,Rhein_Kreis_Neuss,40.0
22222513,Dohmen GmbH,Indirekteinleitung,"38 Textilherstellung, Textilveredlung",,,Korschenbroich,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,38.0
222819,essity Operations Neuss GmbH,industrielle/gewerbliche Direkteinleitung,"28 Herstellung von Papier, Karton oder Pappe","6.2.1
1.2.3.1","0
6.1.b",Neuss,BR Düsseldorf,0034552,Rhein_Kreis_Neuss,28.0
22222213,Eternit AG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
22222613,Hager & Meisinger GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
222808,Intersnack Knabber-Gebäck,industrielle/gewerbliche Direkteinleitung,3 Herstellung von Nahrungsmitteln und Futtermitteln,,0,Grevenbroich,Rhein-Kreis Neuss,0261387,Rhein_Kreis_Neuss,3.0
22222768,Khan,Indirekteinleitung,55 Wäschereien,,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,55.0
22222452,KHT Fahrzeugteile GmbH & Co KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Grevenbroich,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
22222494,NGT Neusser Galvanotechnik GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
22222647,Novar GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
22222648,Novar GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
22223659,Pierburg GmbH - Werk Niederrhein,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","3.8.1
1.2.3.2","0
2.5.b",Neuss,BR Düsseldorf,9995319,Rhein_Kreis_Neuss,40.0
22222650,SAFE-TEC GmbH,Indirekteinleitung,55 Wäschereien,,,Kaarst,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,55.0
22222393,Teepack GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Meerbusch,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
22222748,Terkes,Indirekteinleitung,55 Wäschereien,,,Rommerskirchen,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,55.0
22222178,Textron Verbindungstechnik GmbH & Co. OH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Neuss,Rhein-Kreis Neuss,,Rhein_Kreis_Neuss,40.0
2224684,AC Chem. Werke,Indirekteinleitung,22 Chemische Industrie,,,Aachen,Stadt Aachen,,St_dteregion_Aachen,22.0
2225457,Behinderten Einrichtung,Indirekteinleitung,55 Wäschereien,,,Aachen,Stadt Aachen,,St_dteregion_Aachen,55.0
2223355,Colorex,,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2223509,Flamm,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2226257,Fleuster,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2223108,Grenzland GmbH,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2221935,Grünenthal GmbH,Indirekteinleitung,"22 Chemische Industrie
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","1.2.3.1
1.2.3.2
4.1.19","0
4.5",Aachen,BR Köln,0226771,St_dteregion_Aachen,22.0
2224721,"Haugg, A.  Kühlerfabrik",Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2222680,KME Stolberg GmbH,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung
49 Mineralölhaltiges Abwasser","3.6.3
3.9.1.2",0,Stolberg (Rhld.),BR Köln,0875346,St_dteregion_Aachen,40.0
2222332,Lejeune Dienste GmbH,Indirekteinleitung,55 Wäschereien,,,Aachen,Stadt Aachen,,St_dteregion_Aachen,55.0
2223,Otto Junker GmbH,"industrielle/gewerbliche Direkteinleitung
Indirekteinleitung","40 Metallbearbeitung, Metallverarbeitung
99 Keine eindeutige Zuordnung möglich
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung","3.4.2
3.7.1
3.8.1
1.2.2.1
9.1.1.2","0
2.4
2.5.b",Simmerath,BR Köln,0096302,St_dteregion_Aachen,40.0
2225298,Pallas,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2223023,Pallas GmbH & Co. KG,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",3.10.1,2.6,Würselen,BR Köln,0332530,St_dteregion_Aachen,40.0
2225212,PRYM FASHION,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung
31 Wasseraufbereitung, Kühlsysteme, Dampferzeugung",3.10.1,"0
2.6",Stolberg (Rhld.),BR Köln,9001253,St_dteregion_Aachen,40.0
2224704,Rhein-Nadel,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
2224169,Schumag,Indirekteinleitung,"40 Metallbearbeitung, Metallverarbeitung",,,Aachen,Stadt Aachen,,St_dteregion_Aachen,40.0
